App,Category,RAM,CPU_Intel,CPU_AMD,GPU_NVIDIA,GPU_AMD,GPU_Intel,CPU_Intel_score,CPU_AMD_score,GPU_NVIDIA_score,GPU_AMD_score,GPU_Intel_score,Description
HitFilm Express,['Video'],4,Intel Core i3-7100,AMD Ryzen 3 1200,AMD Radeon Vega 3,AMD Radeon Vega 3,Intel UHD 630,12419,6261,889,889,614,Video editing and visual effects software with compositing tools.
Capture One,['Design'],8,Intel Core i3-7100,AMD Ryzen 3 1200,AMD Radeon Vega 3,AMD Radeon Vega 3,Intel UHD 630,12419,6261,889,889,614,Professional photo editing software with RAW processing capabilities.
Krita,['Design'],4,Intel Pentium Gold G5400,AMD Athlon 3000G,AMD Radeon R3,AMD Radeon R3,Intel UHD 610,6720,4456,311,311,691,Free and open-source digital painting software for artists.
SketchUp,['Design'],4,Intel Core i3-7100,AMD Ryzen 3 1200,AMD Radeon Vega 3,AMD Radeon Vega 3,Intel UHD 630,12419,6261,889,889,614,3D modeling software for architectural and interior design.
PaintTool SAI,['Design'],4,Intel Pentium Gold G5400,AMD Athlon 3000G,AMD Radeon R3,AMD Radeon R3,Intel UHD 610,6720,4456,311,311,691,Lightweight painting software for digital artists and illustrators.
Adobe Illustrator,['Design'],8,Intel Core i5-7500,AMD Ryzen 5 1400,NVIDIA GT 1030,AMD RX 550,NVIDIA GT 1030,19760,7735,84,6519,84,Industry-standard vector graphics editor for design and illustration.
ZBrush,['3D'],8,Intel Core i5-7500,AMD Ryzen 5 1400,NVIDIA GTX 1050,AMD RX 560,NVIDIA GTX 1050,19760,7735,720,6519,720,Digital sculpting and painting software for high-resolution 3D models.
OpenToonz,['Design'],4,Intel Core i3-7100,AMD Ryzen 3 1200,AMD Radeon Vega 3,AMD Radeon Vega 3,Intel UHD 630,12419,6261,889,889,614,2D animation software for traditional and digital animation production.
Adobe After Effects,['Video'],12,Intel Core i5-7500,AMD Ryzen 5 1400,NVIDIA GTX 1050 Ti,AMD RX 570,NVIDIA GTX 1050 Ti,19760,7735,720,6519,720,Motion graphics and visual effects software for film and video.
Adobe Lightroom,['Design'],8,Intel Core i5-6500,AMD Ryzen 5 1400,NVIDIA GT 1030,AMD RX 550,NVIDIA GT 1030,19760,7735,84,6519,84,Cloud-based photo editing and organization service.
Adobe InDesign,['Design'],8,Intel Core i3-7100,AMD Ryzen 3 1200,AMD Radeon Vega 3,AMD Radeon Vega 3,Intel UHD 630,12419,6261,889,889,614,Desktop publishing software for layout design and typesetting.
Adobe XD,['UI/UX'],4,Intel Core i3-7100,AMD Ryzen 3 1200,AMD Radeon Vega 3,AMD Radeon Vega 3,Intel UHD 630,12419,6261,889,889,614,User experience design tool for websites and mobile apps.
Adobe Animate,['Animation'],8,Intel Core i3-7100,AMD Ryzen 3 1200,AMD Radeon Vega 3,AMD Radeon Vega 3,Intel UHD 630,12419,6261,889,889,614,Multimedia authoring software for animation and interactive content.
Adobe Dreamweaver,['Web'],4,Intel Core i3-7100,AMD Ryzen 3 1200,AMD Radeon Vega 3,AMD Radeon Vega 3,Intel UHD 630,12419,6261,889,889,614,Web development tool for designing and publishing websites.
Adobe Substance 3D Painter,['3D'],8,Intel Core i5-7500,AMD Ryzen 5 1600,NVIDIA GTX 1050 Ti,AMD RX 570,NVIDIA GTX 1050 Ti,19760,12275,720,6519,720,3D texturing software for physically-based rendering materials.
Adobe Substance 3D Designer,['3D'],16,Intel Core i5-7600,AMD Ryzen 5 2600,NVIDIA GTX 1050 Ti,AMD RX 570,NVIDIA GTX 1050 Ti,21435,13167,720,6519,720,Material authoring tool for procedural texture creation.
Adobe Substance 3D Sampler,['3D'],8,Intel Core i5-7500,AMD Ryzen 5 1600,NVIDIA GTX 1050 Ti,AMD RX 570,NVIDIA GTX 1050 Ti,19760,12275,720,6519,720,Material creation tool using AI-assisted image conversion.
Affinity Designer,['Design'],4,Intel Core i3-7100,AMD Ryzen 3 1200,AMD Radeon Vega 3,AMD Radeon Vega 3,Intel UHD 630,12419,6261,889,889,614,Vector graphics editor for professional illustration and design.
Affinity Publisher,['Design'],4,Intel Core i3-7100,AMD Ryzen 3 1200,AMD Radeon Vega 3,AMD Radeon Vega 3,Intel UHD 630,12419,6261,889,889,614,Professional publishing software for layout and typography.
Lightworks,['Video'],4,Intel Core i5-7500,AMD Ryzen 5 1400,NVIDIA GTX 1050,AMD RX 560,NVIDIA GTX 1050,19760,7735,720,6519,720,Professional non-linear editing system for video production.
Clip Studio Paint,['Design'],4,Intel Pentium Gold G5400,AMD Athlon 3000G,AMD Radeon R3,AMD Radeon R3,Intel UHD 610,6720,4456,311,311,691,"Digital art software for comics, manga, and illustration."
GIMP,['Design'],4,Intel Core i3-6100,AMD Ryzen 3 1200,AMD Radeon R5,AMD Radeon R5,Intel HD 530,12419,6261,37,37,993,Free and open-source image manipulation program.
Inkscape,['Design'],4,Intel Core i3-6100,AMD Ryzen 3 1200,AMD Radeon R5,AMD Radeon R5,Intel HD 530,12419,6261,37,37,993,Free and open-source vector graphics editor.
Figma,['UI/UX'],4,Intel Core i3-7100,AMD Ryzen 3 1200,AMD Radeon Vega 3,AMD Radeon Vega 3,Intel UHD 630,12419,6261,889,889,614,Collaborative interface design tool for web and mobile applications.
Procreate,['Design'],4,,,,,,0,0,0,0,0,Digital painting app designed for artists on iPadOS.
3ds Max,['3D'],8,Intel Core i5-7500,AMD Ryzen 5 1600,NVIDIA GTX 1050 Ti,AMD RX 570,NVIDIA GTX 1050 Ti,19760,12275,720,6519,720,3D modeling and rendering software for design visualization and games.
Houdini,['3D'],8,Intel Core i5-8500,AMD Ryzen 5 2600,NVIDIA GTX 1050 Ti,AMD RX 570,NVIDIA GTX 1050 Ti,19760,13167,720,6519,720,3D animation software for visual effects and procedural generation.
Unity,['Game Dev'],8,Intel Core i5-7500,AMD Ryzen 5 1400,NVIDIA GTX 1050 Ti,AMD RX 560,NVIDIA GTX 1050 Ti,19760,7735,720,6519,720,Game development engine for creating 2D and 3D interactive content.
Unreal Engine,['Game Dev'],8,Intel Core i5-8500,AMD Ryzen 5 2600,NVIDIA GTX 1060 3GB,AMD RX 580,NVIDIA GTX 1060 3GB,19760,13167,5307,6519,5307,Real-time 3D creation tool for photoreal visuals and immersive experiences.
Toon Boom Harmony,['Animation'],8,Intel Core i5-7500,AMD Ryzen 5 1600,NVIDIA GTX 1050 Ti,AMD RX 570,NVIDIA GTX 1050 Ti,19760,12275,720,6519,720,Industry-standard 2D animation software for production pipelines.
Marvelous Designer,['3D'],8,Intel Core i5-7500,AMD Ryzen 5 1600,NVIDIA GTX 1050 Ti,AMD RX 570,NVIDIA GTX 1050 Ti,19760,12275,720,6519,720,3D clothing design software for virtual fashion and characters.
KeyShot,['Rendering'],8,Intel Core i5-7500,AMD Ryzen 5 1600,NVIDIA GTX 1050 Ti,AMD RX 570,NVIDIA GTX 1050 Ti,19760,12275,720,6519,720,Real-time ray tracing and global illumination rendering software.
Nuke,['VFX'],16,Intel Core i7-7700,AMD Ryzen 5 2600,NVIDIA GTX 1060 3GB,AMD RX 580,NVIDIA GTX 1060 3GB,30444,13167,5307,6519,5307,Node-based compositing software for visual effects and film production.
Arnold Renderer,['Rendering'],16,Intel Core i7-7700,AMD Ryzen 5 2600,NVIDIA GTX 1060 3GB,AMD RX 580,NVIDIA GTX 1060 3GB,30444,13167,5307,6519,5307,Advanced ray-tracing renderer for feature-length animation and VFX.
Redshift,['Rendering'],16,Intel Core i7-7700,AMD Ryzen 5 2600,NVIDIA GTX 1060 6GB,AMD RX 580,NVIDIA GTX 1060 6GB,30444,13167,5307,6519,5307,GPU-accelerated renderer for high-end production rendering.
Audacity,['Audio'],4,Intel Core i3-6100,AMD Ryzen 3 1200,AMD Radeon R5,AMD Radeon R5,Intel HD 530,12419,6261,37,37,993,"Free, open-source digital audio editor and recording software."
OBS Studio,['Broadcast'],8,Intel Core i5-6500,AMD Ryzen 5 1400,AMD Radeon Vega 8,AMD Radeon Vega 8,Intel UHD 630,19760,7735,1577,1577,614,Free and open-source software for video recording and live streaming.
REAPER,['Audio'],4,Intel Core i5-6500,AMD Ryzen 5 1400,AMD Radeon Vega 3,AMD Radeon Vega 3,Intel UHD 630,19760,7735,889,889,614,Digital audio workstation with full multitrack audio and MIDI recording.
Resolume Arena,['Live Visuals'],4,Intel Core i5-7500,AMD Ryzen 5 1600,NVIDIA GTX 1050 Ti,AMD RX 570,NVIDIA GTX 1050 Ti,19760,12275,720,6519,720,Real-time video mixing software for VJing and live performances.
TouchDesigner,['Live Visuals'],8,Intel Core i5-7500,AMD Ryzen 5 1600,NVIDIA GTX 1060 3GB,AMD RX 580,NVIDIA GTX 1060 3GB,19760,12275,5307,6519,5307,Visual development platform for realtime interactive projects.
Ableton Live,['Audio'],4,Intel Core i5-6500,AMD Ryzen 5 1400,AMD Radeon Vega 3,AMD Radeon Vega 3,Intel UHD 630,19760,7735,889,889,614,Digital audio workstation for music production and live performance.
Pro Tools,['Audio'],8,Intel Core i5-7500,AMD Ryzen 5 2600,NVIDIA GT 1030,AMD RX 550,NVIDIA GT 1030,19760,13167,84,6519,84,Industry-standard digital audio workstation for music and post-production.
FL Studio,['Audio'],4,Intel Core i3-6100,AMD Ryzen 3 1200,AMD Radeon R5,AMD Radeon R5,Intel HD 530,12419,6261,37,37,993,Digital audio workstation for music production and beat making.
Max/MSP,['Audio'],4,Intel Core i5-6500,AMD Ryzen 5 1400,AMD Radeon Vega 3,AMD Radeon Vega 3,Intel UHD 630,19760,7735,889,889,614,Visual programming language for music and multimedia applications.
V-Ray,['Rendering'],16,Intel Core i7-7700,AMD Ryzen 5 2600,NVIDIA GTX 1060 6GB,AMD RX 580,NVIDIA GTX 1060 6GB,30444,13167,5307,6519,5307,Rendering engine for photorealistic visualization and animation.
Octane Render,['Rendering'],16,Intel Core i7-7700,AMD Ryzen 5 2600,NVIDIA GTX 1060 6GB,AMD RX 580,NVIDIA GTX 1060 6GB,30444,13167,5307,6519,5307,GPU-accelerated rendering application for real-time ray tracing.
Quixel Mixer,['3D'],8,Intel Core i5-7500,AMD Ryzen 5 1600,NVIDIA GTX 1050 Ti,AMD RX 570,NVIDIA GTX 1050 Ti,19760,12275,720,6519,720,Texture creation software for photorealistic material blending.
Mari,['3D'],16,Intel Core i7-7700,AMD Ryzen 5 2600,NVIDIA GTX 1060 6GB,AMD RX 580,NVIDIA GTX 1060 6GB,30444,13167,5307,6519,5307,3D texture painting software for complex assets and look development.
Blackmagic Fusion,['VFX'],8,Intel Core i5-8500,AMD Ryzen 5 2600,NVIDIA GTX 1050 Ti,AMD RX 570,NVIDIA GTX 1050 Ti,19760,13167,720,6519,720,Visual effects software for compositing and motion graphics.
Adobe Audition,['Audio'],4,Intel Core i5-7500,AMD Ryzen 5 1400,NVIDIA GT 1030,AMD RX 550,NVIDIA GT 1030,19760,7735,84,6519,84,"Digital audio workstation for radio, video, and podcast production."
