Status,Laptop,Brand,Model,CPU,GPU,RAM,Storage,Storage type,Screen,Touch,CPU_score,GPU_score,Final Price
New,MSI Pulse 15 B13VGK-433XES,MSI,Pulse,Intel Core i9-13900H,RTX 4070,32,1000,SSD,15.6,0,27858.0,26942.0,37933500.0
New,MSI Stealth 15 A13VF-028XES,MSI,Stealth,Intel Core i7-13620H,RTX 4060,32,1000,SSD,15.6,0,24272.0,19703.0,31333500.0
New,ASUS Chromebook CX1400FKA-EC0078,Asus,Chromebook,Intel Celeron N4500,Intel UHD Graphics,8,64,eMMC,14.0,1,1882.0,1495.0,7408500.0
New,Lenovo V15 G2 ITL,Lenovo,V15,Intel Core i5-1135G7,Intel Iris Xe Graphics,16,512,SSD,15.6,0,9564.0,2657.0,11533500.0
New,ASUS Chromebook CX1400CNA-BV0210,Asus,Chromebook,Intel Celeron N3350,Intel HD Graphics 500,8,32,eMMC,14.0,0,1110.0,299.0,5758500.0
New,MSI Vector GP68HX 12VH-009XES,MSI,Vector,Intel Core i9-12900HX,RTX 4080,32,1000,SSD,16.0,0,33256.0,34435.0,42883500.0
New,HP 15S-fq5075ns,HP,15S,Intel Core i5-1235U,Intel Iris Xe Graphics,8,512,SSD,15.6,0,12993.0,2657.0,9553665.0
New,Acer Aspire 3 A315-59-56GV,Acer,Aspire,Intel Core i5-1235U,Intel Iris Xe Graphics,8,512,SSD,15.6,0,12993.0,2657.0,12358500.0
New,ASUS ExpertBook P1512CEA-EJ0083X,Asus,ExpertBook,Intel Core i3-1115G4,Intel UHD Graphics,8,256,SSD,15.6,0,5934.0,1495.0,9058500.0
New,Lenovo IdeaPad Gaming 3 15ACH6,Lenovo,IdeaPad,AMD Ryzen 5 5600H,RTX 3050,16,512,SSD,15.6,0,16751.0,9466.0,16153500.0
New,ASUS ZenBook 14 OLED UM3402YA-KM513,Asus,ZenBook,AMD Ryzen 5 7530U,AMD Radeon Graphics,16,512,SSD,14.0,0,15552.0,2250.0,15988500.0
New,Lenovo IdeaPad Gaming 3 15IAH7,Lenovo,IdeaPad,Intel Core i5-12500H,RTX 3050,16,512,SSD,15.6,0,20660.0,9466.0,18133500.0
New,Lenovo Legion 5 15ITH6H,Lenovo,Legion,Intel Core i5-11400H,RTX 3060,16,512,SSD,15.6,0,15398.0,16840.0,21763665.0
New,Lenovo IdeaPad Flex 5 14ALC05,Lenovo,IdeaPad,AMD Ryzen 5 5500U,AMD Radeon Graphics,16,512,SSD,14.0,1,12868.0,1970.0,13183500.0
New,Apple MacBook Air,Apple,MacBook Air,Apple M1 8 Core 3200 MHz,Apple M1 GPU,8,256,SSD,13.3,0,14145.0,4850.0,20113500.0
New,Lenovo IdeaPad Gaming 3 15ACH6,Lenovo,IdeaPad,AMD Ryzen 5 5600H,GTX 1650,16,512,SSD,15.6,0,16751.0,7878.0,14503500.0
New,MSI Prestige 14H B12UCX-427XES,MSI,Prestige,Intel Core i7-12650H,RTX 2050,32,1000,SSD,14.0,0,22065.0,7757.0,22423500.0
New,ASUS F515EA-EJ1858W,Asus,F515,Intel Core i7-1165G7,Intel Iris Xe Graphics,8,512,SSD,15.6,0,10011.0,2657.0,13843500.0
New,Gigabyte G5 KF-E3ES313SD,Gigabyte,G5,Intel Core i5-12500H,RTX 4060,16,512,SSD,15.6,0,20660.0,19703.0,18298500.0
New,HP ChromeBook 14b-na0017ns,HP,Chromebook,AMD Ryzen 3 3250C,AMD Radeon Vega 3 Graphics,8,128,SSD,14.0,0,3153.0,889.0,9553665.0
New,Dell Vostro 3510,Dell,Vostro,Intel Core i3-1115G4,Intel UHD Graphics,8,256,SSD,15.6,0,5934.0,1495.0,9883500.0
New,Apple Macbook Air,Apple,MacBook Air,Apple M2 8 Core 3500 MHz,Apple M2 GPU,8,256,SSD,13.6,0,15648.0,6300.0,25063500.0
New,ASUS TUF Gaming A15 2023 FA507NV-LP031W,Asus,TUF,AMD Ryzen 7 7735HS,RTX 4060,16,512,SSD,15.6,0,23295.0,19703.0,22258500.0
